Date/Time           No.                  
5/8/2022 18:06      6                    
5/9/2022 08:46      6                    
5/9/2022 08:46      6                    
5/9/2022 18:01      6                    
5/10/2022 09:12     6                    
5/10/2022 18:05     6                    
5/11/2022 08:32     6                    
5/11/2022 18:00     6                    
5/12/2022 08:38     6                    
5/12/2022 18:00     6                    
5/17/2022 08:37     6                    
5/17/2022 18:14     6                    
5/18/2022 09:15     6                    
5/18/2022 18:00     6                    
5/19/2022 08:37     6                    
5/19/2022 17:53     6                    
5/22/2022 09:10     6                    
5/22/2022 18:00     6                    
5/23/2022 09:09     6                    
5/23/2022 17:55     6                    
5/23/2022 17:56     6                    
5/24/2022 08:40     6                    
5/24/2022 18:00     6                    
5/25/2022 10:18     6                    
5/25/2022 18:01     6                    
5/29/2022 09:08     6                    
5/29/2022 18:00     6                    
5/30/2022 09:05     6                    
5/30/2022 18:05     6                    
5/31/2022 09:10     6                    
5/14/2022 09:06     8                    
5/22/2022 09:14     8                    
5/22/2022 09:14     8                    
5/25/2022 09:07     8                    
5/31/2022 09:14     8                    
5/10/2022 11:12     9                    
5/10/2022 11:12     9                    
5/10/2022 11:12     9                    
5/10/2022 11:12     9                    
5/10/2022 11:13     9                    
5/10/2022 11:13     9                    
5/10/2022 11:13     9                    
5/10/2022 11:13     9                    
5/10/2022 11:13     9                    
5/10/2022 11:13     9                    
5/10/2022 11:13     9                    
5/10/2022 11:13     9                    
5/10/2022 11:13     9                    
5/10/2022 11:13     9                    
5/10/2022 11:13     9                    
5/23/2022 08:49     9                    
5/24/2022 09:14     9                    
5/7/2022 09:09      11                   
5/7/2022 18:07      11                   
5/8/2022 08:59      11                   
5/8/2022 18:06      11                   
5/9/2022 08:58      11                   
5/9/2022 18:01      11                   
5/10/2022 18:05     11                   
5/10/2022 18:09     11                   
5/11/2022 09:06     11                   
5/11/2022 18:13     11                   
5/12/2022 09:04     11                   
5/12/2022 18:13     11                   
5/14/2022 09:12     11                   
5/14/2022 18:12     11                   
5/14/2022 18:12     11                   
5/16/2022 09:13     11                   
5/16/2022 18:15     11                   
5/17/2022 09:20     11                   
5/17/2022 18:06     11                   
5/18/2022 09:11     11                   
5/18/2022 18:09     11                   
5/19/2022 09:11     11                   
5/19/2022 18:22     11                   
5/21/2022 09:11     11                   
5/21/2022 18:16     11                   
5/22/2022 09:12     11                   
5/22/2022 18:30     11                   
5/23/2022 09:12     11                   
5/23/2022 18:27     11                   
5/23/2022 18:27     11                   
5/24/2022 09:07     11                   
5/24/2022 18:07     11                   
5/25/2022 09:12     11                   
5/25/2022 18:17     11                   
5/26/2022 09:08     11                   
5/26/2022 09:19     11                   
5/26/2022 18:22     11                   
5/28/2022 18:10     11                   
5/29/2022 09:08     11                   
5/29/2022 18:02     11                   
5/30/2022 09:10     11                   
5/30/2022 18:03     11                   
5/31/2022 09:08     11                   
5/31/2022 18:11     11                   
5/31/2022 18:11     11                   
5/7/2022 09:51      17                   
5/7/2022 18:07      17                   
5/8/2022 09:09      17                   
5/8/2022 18:09      17                   
5/10/2022 09:10     17                   
5/10/2022 18:09     17                   
5/11/2022 09:14     17                   
5/11/2022 18:14     17                   
5/12/2022 09:18     17                   
5/12/2022 18:15     17                   
5/16/2022 09:22     17                   
5/16/2022 18:12     17                   
5/16/2022 18:12     17                   
5/17/2022 09:16     17                   
5/17/2022 18:06     17                   
5/18/2022 09:34     17                   
5/18/2022 18:09     17                   
5/21/2022 09:11     17                   
5/21/2022 18:16     17                   
5/22/2022 09:21     17                   
5/22/2022 18:23     17                   
5/23/2022 09:00     17                   
5/23/2022 18:27     17                   
5/24/2022 09:00     17                   
5/24/2022 18:11     17                   
5/25/2022 09:09     17                   
5/25/2022 18:08     17                   
5/26/2022 09:08     17                   
5/26/2022 18:07     17                   
5/28/2022 09:09     17                   
5/28/2022 17:32     17                   
5/29/2022 09:04     17                   
5/29/2022 18:01     17                   
5/30/2022 08:50     17                   
5/30/2022 18:04     17                   
5/31/2022 09:02     17                   
5/31/2022 18:11     17                   
